Dia,Suseptibles,Infectados,Personas Sanas,Recuperados
dia 187,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 188,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 189,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 190,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 191,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 192,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 193,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 194,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 195,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 196,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 197,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 198,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 199,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 200,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 201,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 202,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 203,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 204,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 205,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 206,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 207,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 208,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 209,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 210,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 211,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 212,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 213,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 214,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 215,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 216,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 217,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 218,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 219,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 220,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 221,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 222,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 223,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 224,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 225,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 226,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 227,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 228,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 229,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 230,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 231,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 232,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 233,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 234,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 235,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 236,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 237,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 238,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 239,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 240,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 241,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 242,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 243,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 244,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 245,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 246,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 247,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 248,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 249,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 250,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 251,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 252,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 253,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 254,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 255,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 256,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 257,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 258,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 259,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 260,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 261,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 262,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 263,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 264,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 265,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 266,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 267,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 268,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 269,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 270,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 271,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 272,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 273,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 274,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 275,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 276,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 277,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 278,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 279,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 280,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 281,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 282,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 283,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 284,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 285,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 286,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 287,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 288,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 289,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 290,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 291,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 292,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 293,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 294,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 295,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 296,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 297,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 298,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 299,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 300,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 301,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 302,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 303,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 304,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 305,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 306,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 307,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 308,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 309,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 310,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 311,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 312,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 313,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 314,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 315,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 316,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 317,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 318,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 319,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 320,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 321,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 322,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 323,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 324,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 325,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 326,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 327,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 328,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 329,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 330,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 331,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 332,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 333,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 334,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 335,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 336,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 337,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 338,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 339,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 340,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 341,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
